zip,lat,long,pop,avg_income,tutoring_rate,tutor_count
92101,32.72523,-117.171346,"27,494","$23,762.00",41.86538462,52
92102,32.716007,-117.117462,"47,123","$26,505.00",41.76470588,34
92103,32.747484,-117.166877,"30,186","$39,578.00",41.9609375,128
92104,32.741499,-117.127409,"47,688","$31,139.00",41.84848485,66
92105,32.741859,-117.090353,"72,994","$25,593.00",40,39
92106,32.71346,-117.236378,"18,505","$62,121.00",46.76470588,17
92107,32.741852,-117.243453,"27,956","$42,660.00",40.6744186,43
92108,32.774046,-117.142454,"11,640","$42,626.00",44.33333333,30
92109,32.787836,-117.232376,"46,071","$45,202.00",43.39534884,86
92110,32.76501,-117.19938,"24,149","$40,642.00",40,46
92111,32.805518,-117.169052,"46,821","$42,774.00",38.91891892,37
92113,32.697098,-117.116587,"47,417","$23,841.00",32.85714286,7
92114,32.707892,-117.05512,"66,837","$46,189.00",54.23076923,26
92115,32.762506,-117.07245,"56,883","$31,666.00",44.38596491,57
92116,32.765299,-117.122565,"33,080","$35,401.00",39.91525424,59
92117,32.825086,-117.199424,"51,203","$47,245.00",46.0877193,57
92119,32.802959,-117.027095,"21,850","$55,973.00",40.83333333,18
92120,32.807867,-117.060993,"25,553","$57,461.00",42.16393443,61
92121,32.898613,-117.202937,"4,248","$70,750.00",42.91666667,12
92122,32.85723,-117.209774,"34,891","$52,039.00",42.05291005,189
92123,32.808814,-117.134694,"25,217","$49,646.00",37.19047619,21
92124,32.827238,-117.089287,"30,187","$59,164.00",39.525,40
92126,32.886925,-117.152162,"74,222","$60,229.00",43.56410256,78
92127,33.017518,-117.118456,"20,032","$75,219.00",47.55,20
92128,33.000269,-117.072093,"42,728","$66,676.00",42.12765957,47
92129,32.961064,-117.134917,"47,217","$77,851.00",53.4893617,47
92130,32.957195,-117.202542,"28,187","$93,929.00",50.71212121,66
92131,32.89325,-117.087091,"29,279","$90,811.00",43.6,15
92139,32.677716,-117.047666,"36,341","$49,032.00",45,18
92154,32.578103,-117.012975,"68,764","$42,970.00",44.5,40
