zip,lat,long,pop,avg_income,tutoring_rate,tutor_count
92101,32.72523,-117.171346,27494,23762,41.86538462,52
92102,32.716007,-117.117462,47123,26505,41.76470588,34
92103,32.747484,-117.166877,30186,39578,41.9609375,128
92104,32.741499,-117.127409,47688,31139,41.84848485,66
92105,32.741859,-117.090353,72994,25593,40,39
92106,32.71346,-117.236378,18505,62121,46.76470588,17
92107,32.741852,-117.243453,27956,42660,40.6744186,43
92108,32.774046,-117.142454,11640,42626,44.33333333,30
92109,32.787836,-117.232376,46071,45202,43.39534884,86
92110,32.76501,-117.19938,24149,40642,40,46
92111,32.805518,-117.169052,46821,42774,38.91891892,37
92113,32.697098,-117.116587,47417,23841,32.85714286,7
92114,32.707892,-117.05512,66837,46189,54.23076923,26
92115,32.762506,-117.07245,56883,31666,44.38596491,57
92116,32.765299,-117.122565,33080,35401,39.91525424,59
92117,32.825086,-117.199424,51203,47245,46.0877193,57
92119,32.802959,-117.027095,21850,55973,40.83333333,18
92120,32.807867,-117.060993,25553,57461,42.16393443,61
92121,32.898613,-117.202937,4248,70750,42.91666667,12
92122,32.85723,-117.209774,34891,52039,42.05291005,189
92123,32.808814,-117.134694,25217,49646,37.19047619,21
92124,32.827238,-117.089287,30187,59164,39.525,40
92126,32.886925,-117.152162,74222,60229,43.56410256,78
92127,33.017518,-117.118456,20032,75219,47.55,20
92128,33.000269,-117.072093,42728,66676,42.12765957,47
92129,32.961064,-117.134917,47217,77851,53.4893617,47
92130,32.957195,-117.202542,28187,93929,50.71212121,66
92131,32.89325,-117.087091,29279,90811,43.6,15
92139,32.677716,-117.047666,36341,49032,45,18
92154,32.578103,-117.012975,68764,42970,44.5,40
